producto,nutriscore,nova,perfil_aditivos,ns_num,cluster_final
HERTA Trésor de Grand Mère pâte feuilletée pur beurre 280g,d,3,0,4,3
Filets de maquereaux moutarde a l'ancienne,c,4,0,3,0
Le Torchon - Cuit à l'Etouffée  - 25% de sel*,c,4,0,3,0
Merci Finest Selection,e,4,0,5,3
Sauce pizza star 350 g,d,4,0,4,3
Bebida de Avena,c,1,0,3,1
Mozzarella Pizza-Roma,c,3,0,3,0
Riz au lait,c,4,0,3,0
Mejora,e,4,0,5,3
Lentilles vertes,b,3,0,2,0
Caldo casero de pollo,c,4,0,3,0
Yaourt à la GRECQUE NATURE,c,3,0,3,0
Rice crackers sea salt,d,4,0,4,3
"Barres Chocolat Noir, Amandes, Cranberries & Noix de Coco",c,3,0,3,0
Boisson Amande,c,3,0,3,0
Crackers heudebert,d,3,0,4,3
Muesli croustillant chocolat 500 g,c,3,0,3,0
2 Cordons Bleus De Poulet Bio,c,3,0,3,0
Wattwiller,a,1,0,1,1
Pain grillé Pelletier,d,4,0,4,3
Galleta ligera sin sal y sin azúcar,a,4,0,1,0
Tortitas de maíz,c,3,0,3,0
Kikkoman Sojasauce,e,3,0,5,3
Poêlée Méditerranéenne 750g,b,4,0,2,0
L'extra craquante nature,d,3,0,4,3
Natural con Coco,b,4,0,2,0
Truite Fumée de France,d,3,0,4,3
Atún claro al natural,a,3,0,1,0
BRIDELIGHT LE BON MOELLEUX ALLEGE 5%MG 350g,c,3,0,3,0
Desconocido,e,4,0,5,3
Marie Gold Biscuit,e,4,0,5,3
Sauce tomate au basilic,b,4,0,2,0
Mouliné de Légumes verts Verts,b,3,0,2,0
Cassegrain - Lentilles préparées 4/4,b,4,0,2,0
Amande chocolat,e,4,0,5,3
Blé tendre cuisson 10 min Ebly 500 g,b,1,0,2,1
Chocolat Noir 95% Togo,d,3,0,4,3
TOMATO KETCHUP,d,3,0,4,3
Copos de trigo espelta integral 0%,a,3,0,1,0
Pâte à tartiner 40% noisettes du Lot-et-Garonne et cacao,e,4,0,5,3
Tomato Ketchup,d,4,0,4,3
"Muesli 35 fruits, noix et graines",b,3,0,2,0
Curry de pois chiches aux épices douces d'aucy 380g,b,3,0,2,0
Galletas Desayuno Zero Sin Azúcares,b,4,0,2,0
HERTA LE BON PARIS Jambon conservation sans nitrite x2 - 70g,c,4,0,3,0
Proteines Mangue,a,4,0,1,0
Ristorante Pizza Vegetale,c,3,0,3,0
Peeled Tomatoes in tomato juice,b,1,0,2,1
gaufres au sucre perlé,e,4,0,5,3
Dark Chocolate with Sea Salt,e,4,0,5,3
"Blé, riz rouge, quinoa",b,3,0,2,0
Sardines huile olive,b,3,0,2,0
Eau de source de montagne Laqueuille,a,1,0,1,1
Petits pains grillés blé complet,c,4,0,3,0
L'original noir,e,4,0,5,3
"Alpro Joghurtalternative auf Sojabasis, Natur mit Hafer, 500 g",a,4,0,1,0
fawakih mangue 900ml,e,4,0,5,3
Sauce Arrabiata,d,4,0,4,3
"Chicorée & Café, RICORÉ® L'Original, Recharge de 180g",b,4,0,2,0
Cake & Choc,e,4,0,5,3
Mung Dal,e,1,0,5,1
"BN - Strawberry Cookies, 285g (10oz)",e,4,0,5,3
Suprême,e,4,0,5,3
Plain Bagels,c,3,0,3,0
Pasta Barilla,a,1,0,1,1
Rana champignons ricotta,c,4,0,3,0
pomme poire,a,3,0,1,0
Beurre gastronomique demi-sel,e,2,0,5,3
THIN-SLICED ORGANIC BREAD,b,4,0,2,0
Secret d'arômes plein sud,e,4,0,5,3
Petit nesquik,d,4,0,4,3
Lait vit d,b,1,0,2,1
SAINT ANTONIN Eau Minérale Naturelle Naturelle 1 L,a,1,0,1,1
Nesquik Original,d,4,0,4,3
Camembert,d,3,0,4,3
"Le petit suisse gervais nature 9,5% 60 g x 6",c,3,0,3,0
Fjord nature 125 g x 4,c,4,0,3,0
Sucre en poudre,e,1,0,5,1
Hohos,e,4,3,5,2
Pesto alla Genovese,d,3,0,4,3
Pâte feuilletée,e,3,0,5,3
Peanut Butter Protein Bars,c,4,0,3,0
Sergio,e,4,0,5,3
Tortillas Trigo,c,4,0,3,0
Houmous bio,c,3,0,3,0
SCHOKOLADE,e,4,0,5,3
Pan de Molde 100% Integral,a,4,0,1,0
cracotte,d,4,0,4,3
Activia bifidus saveur vanille sans arome artificiel 125 g x 4,c,4,0,3,0
Konfitura Morelowa 240g*EL Baraka*,d,4,0,4,3
Flocons d'avoine,a,1,0,1,1
LOTUS BISCOFF Speculoos Original Pocket - 186g (12x2p),e,3,0,5,3
قشدة طرية,d,1,0,4,1
Top cookies,e,4,0,5,3
Rye and Mixed Seed Sourdough Bread,a,3,0,1,0
Jus de cranberry,c,4,0,3,0
Avena Crunchy Cacao,a,4,0,1,0
Nature valley crunchy oats and berries,d,4,0,4,3
Petits Muffins Chocolat,e,4,0,5,3
Excellence Noir Sésame Grillé,e,4,0,5,3
Frischkäse Original Philadelphia,d,4,0,4,3
Nectar Orange,e,4,0,5,3
Parmentier de canard,c,3,0,3,0
Kichererbsen,a,3,0,1,0
14 Gaufrettes saveur Cacao,e,4,0,5,3
BelVita Original Petit Déjeuner pépites de chocolat,c,4,0,3,0
Galette Épeautre Son d'Avoine,a,3,0,1,0
"Fromage blanc 3,2% de matière grasse",b,3,0,2,0
SOJA NATURE SANS SUCRES,b,1,0,2,1
Chocolat 85%,d,3,0,4,3
Boisson au soja nature bio,b,1,0,2,1
Ravioli bio au blé complet épinards ricotta burrata,c,4,0,3,0
skyr nature 460g,a,1,0,1,1
8 Pains au lait frais Bio à la farine complète 280g,c,4,0,3,0
SKYR Nature,a,1,0,1,1
Bio crackers Emmental et graines de courge,d,3,0,4,3
Pringles Original,d,4,0,4,3
Muesli croustillant 3 noix,b,3,0,2,0
fromage perly 64p,e,4,0,5,3
Nestle fitness protein cocoa 0% added sugar,a,4,0,1,0
Vinaigrette Balsamique Ciboulette - Echalotes,d,4,0,4,3
"Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT",b,4,0,2,0
бисквити шокочип без глутен,c,4,0,3,0
Pâte à pizza,c,4,0,3,0
Le Ravioli pur boeuf,c,4,0,3,0
Pavé complet 350g,b,4,0,2,0
Eau mineral 33cl aman,a,1,0,1,1
La Paille d'Or aux fraises,e,4,0,5,3
Mouliné de 10 légumes,c,4,0,3,0
BLE 70CL DELICES AGRUMES PULCO,c,4,0,3,0
Cœur de Tournesol,c,2,0,3,1
FITNESS CHOC Barres Céréale 6x23.5g,c,4,0,3,0
Cornichons aigres-doux Recette Paysanne,c,4,0,3,0
Ovomaltine crunchy,e,4,0,5,3
Biscuits à l'orange Orange et au graines de Chia,c,4,0,3,0
Skyr nature 0%,a,1,0,1,1
Confiture abricot,c,4,0,3,0
Sauce basilic aux tomates fraîches de saison,a,4,0,1,0
"Flocons d'avoine, paquet 500g",a,1,0,1,1
50G RICOLA CITRON MELISSE,b,4,0,2,0
Céréales Granola Noix & Graines 350G,a,3,0,1,0
Desconocido,e,1,0,5,1
Pain de mie grandes tranches nature sans sucres ajoutés 500G,c,4,0,3,0
Coco Pop’s Chocos,c,4,0,3,0
Desconocido,b,4,0,2,0
Шоколад с 6% парченца малини,c,4,0,3,0
Allumettes de Jambon,d,4,0,4,3
Galettes aux 4 céréales.,a,3,0,1,0
Biscuit muesli avoine Gerblé,b,4,0,2,0
"Orge, lentilles vertes, riz rouge au naturel",a,3,0,1,0
"Tendres carrés de blé aux aubergine, poivron,  basilic",b,4,0,2,0
Spaghetti au Quinoa Tomate,a,4,0,1,0
Ketchup,d,3,0,4,3
Confiture fruits rouges intenses,d,4,0,4,3
Sucre Complet Muscovado,e,2,0,5,3
Sauce apéritif Guacamole,b,4,0,2,0
Sweet & saltynut,d,4,0,4,3
Sriracha Sauce Hot Chilli Sauce,e,4,0,5,3
Pulpy pècne,e,4,3,5,2
ST YORRE Eau Minérale Naturelle Naturellement Gazeuse 1.15 L,a,1,0,1,1
Mayonnaise,c,4,0,3,0
HERTA LE BON PARIS Jambon sel réduit x4 - 140g,c,4,0,3,0
Cocktail Natural,c,1,0,3,1
Muesli 4 nuts,c,4,0,3,0
Pommes noisettes,c,4,0,3,0
Noisette sans sucres,c,3,0,3,0
pringles hot & spicy,d,4,0,4,3
Sucre cassonade,e,2,0,5,3
Rollitos de canela IKEA,d,4,0,4,3
Granola l'original,e,4,0,5,3
Maxi Cheese Burger,d,4,3,4,2
Soja vanille,b,4,0,2,0
Multivitamin Capri-Sun,d,4,0,4,3
Céréales Special K Kellogg's Nature,c,3,0,3,0
"Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ",c,4,0,3,0
Skyr Nature,a,3,0,1,0
Whaou - 8 Crêpes Chocolat,e,4,0,5,3
Yogur griego ligero,a,4,0,1,0
Twix,e,4,0,5,3
Chocolate negro 99% cacao,d,3,0,4,3
Danone max red fruit,e,1,0,5,1
FRUT MAX,e,4,3,5,2
Desconocido,b,1,0,2,1
Pâtes fraîches jambon cru,d,4,0,4,3
,e,4,0,5,3
Pétillante saveur citron,b,4,0,2,0
Bretzels d'Alsace maxi,d,3,0,4,3
Sardines à la tomate,c,3,0,3,0
Soja cuisine semi-épais bio,b,4,0,2,0
"Gerblé - Choco Hazelnut Filled Cake, 200g (7.1oz)",d,4,0,4,3
SIROP D'AGAVE BIO 250mL,d,1,0,4,1
Fromage Blanc Nature 0%,a,3,0,1,0
Fromage blanc,b,3,0,2,0
Lentilles cuisinées aux petits légumes,c,3,0,3,0
Chips Paysanne,c,3,0,3,0
Emmental râpé,d,3,0,4,3
Nutella,e,4,0,5,3
Lait fermenté,b,1,0,2,1
Raib banan sghir,e,4,0,5,3
FA-BU-BLEU,c,1,0,3,1
"Parmentier de saumon, sauce ricotta épinards",c,3,0,3,0
Biscuits caramel épeautre,c,4,0,3,0
Pizza,c,3,0,3,0
Havarti light,c,3,0,3,0
Gazpacho l'original,a,3,0,1,0
Wraps Multigrains,a,4,0,1,0
جبن طازج,d,1,0,4,1
Pain grillé au blé complet - BIO,c,3,0,3,0
Brioche tranchée,d,4,0,4,3
Pomme vanille,b,4,0,2,0
Quaker Cruesli Chocolat noisette,c,4,0,3,0
Le Biscuit De Natty,e,4,0,5,3
4 Röstis de légumes et cheddar,b,3,0,2,0
Carottes râpées au jus de citron de sicile,a,4,0,1,0
La Vicoise saveur sel de mer,c,3,0,3,0
Croustillant Nature,b,3,0,2,0
GREEK STYLE PLAIN,a,4,0,1,0
NESQUIK Poudre Cacaotée boîte 500g,d,4,0,4,3
Double concentre de tomate,a,1,0,1,1
Saint Moret bio,d,4,0,4,3
Poêlée Paysanne 750g,a,4,0,1,0
Huile d'olive vierge extra Classico,b,2,0,2,1
HERTA TARTE EN OR Pâte Feuilletée sans huile de palme 230g,d,3,0,4,3
Houmous,a,3,0,1,0
kelloggs corn flakes,d,3,0,4,3
Atún claro en aceite de oliva,c,3,0,3,0
Lays,c,3,0,3,0
TAM THON - Huile,a,3,0,1,0
Tarama Extra,d,4,0,4,3
Napoletana,a,4,0,1,0
Kinder Maxi,e,4,0,5,3
Sauce Tomate Napolitaine,a,4,0,1,0
Activia bifidus saveur citron,c,4,0,3,0
3D's Bugles goût nature,e,4,0,5,3
CHAUSSEE AUX MOINES 340g,d,3,0,4,3
Pâtes farcies aux légumes à la sauce tomate bio,c,3,0,3,0
Yaourt chèvre nature,c,1,0,3,1
4 Galettes de blé noir,c,3,0,3,0
Coconut milk,e,4,0,5,3
Daya Ananas Coco,b,3,0,2,0
margarine vital 400 g,b,4,0,2,0
Pepsi 2L,e,4,3,5,2
Sauce tomate basilic,a,4,0,1,0
Peripella,e,4,0,5,3
Total 0%,a,1,0,1,1
Skyr mangue passion,b,3,0,2,0
Mais klein,b,3,0,2,0
Cereal mix 0% azúcares añadidos,c,4,0,3,0
Huile d'olive vierge extra,b,2,0,2,1
Madeleines extra moelleuses nature x 24 sachets individuels Ker Cadélac,d,4,0,4,3
,b,1,0,2,1
Filet de sardine,c,3,0,3,0
"Purée lentilles corail, potimarron",a,3,0,1,0
Roquefort Société,e,3,0,5,3
Galettes pur beurre,e,3,0,5,3
Fourrés Myrtilles,e,4,0,5,3
Pain de mie sandwich complet 550g,b,4,0,2,0
Dessert végétal Noisette-Amande 4 x 100 g,c,4,0,3,0
Quinoa poulet et sésame,a,3,0,1,0
Chips Nature l’Originale Nutriscore B,c,3,0,3,0
Houmous,c,3,0,3,0
Lentilles façon petit salé,b,4,0,2,0
Confiture de Fraise,d,4,0,4,3
Fawakih mchmach khokh,e,1,0,5,1
Majoneesi,d,4,0,4,3
Petits pains grillés à l'épeautre,a,3,0,1,0
Haché végétal Façon Bolognaise au soja,a,3,0,1,0
Oreo chocolate,e,4,0,5,3
Bio crackers épeautre et 3 graines,d,3,0,4,3
Thon entier au naturel Albacore,a,3,0,1,0
Sticks et Bretzels d'Alsace,d,3,0,4,3
Dolce Pizza - Regina,c,4,0,3,0
Yaourt à la vanille bio,c,4,0,3,0
Tzatziki Extra,c,4,0,3,0
"Risotto poulet & cèpes, crème fraîche, petits oignons",c,4,0,3,0
Thon a lhuile,a,3,0,1,0
Lait demi-écrémé,b,1,0,2,1
Chocolat noir 72% cacao,e,4,0,5,3
Pâte à tartiner bio - 40% noisettes - Chocolat Noir,e,3,0,5,3
Végétal falafels pois chiches coriandre,a,4,0,1,0
Filets de tofu à la japonaise,b,3,0,2,0
Eau minérale Ifri,a,1,0,1,1
NESTLE DESSERT Lait,e,4,0,5,3
Pâte à tartiner noisette cacao,e,4,0,5,3
Kefir Natural Fermented Yogurt,b,1,0,2,1
High Protein Drink Gusto Vaniglia,d,4,0,4,3
Curry thaï,a,3,0,1,0
Brioches barre chocolat au lait,e,4,0,5,3
,e,1,0,5,1
Crêpes bretonnes,e,4,0,5,3
BARILLA TAGLIATELLE 500g,a,1,0,1,1
High Protein Frutas con Trozos,a,4,3,1,2
wheels,e,4,0,5,3
Jamón cocido lonchas,e,4,0,5,3
Muesli bio noix & graines,a,3,0,1,0
6111259347106,e,1,0,5,1
Haricots rouges d'aucy 250g,b,3,0,2,0
Tofou Nature,a,3,0,1,0
Beurre plaquette AOP doux,e,2,0,5,3
DUO DE QUINOA AUX LEGUMES,b,3,0,2,0
Abtal,e,4,0,5,3
Lait Demi écrème Uht Jaouda,b,1,0,2,1
,b,2,0,2,1
Joly,a,3,0,1,0
Confitura de fresas 0% azúcares añadidos,a,4,0,1,0
Mélanges de fruits,d,4,0,4,3
Pipas tostadas gigantes aguasal,a,3,0,1,0
Pan de molde 12 cereales y semillas,b,4,0,2,0
REAL MAYONNAISE,c,4,0,3,0
Sticks Bretzels d'Alsace L'original,d,3,0,4,3
Skyr vanille,b,4,0,2,0
Grissini artigianali,c,3,0,3,0
Croustillant chocolat,c,3,0,3,0
Excellence Noir Suprême Corsé 70% Cacao,e,3,0,5,3
Brioche Muffin x 5 250g,c,4,0,3,0
"Jambon Supérieur sans couenne Conservation Sans Nitrite - x4 tranches,140g",c,4,0,3,0
St hubert omega 3 255 g demi sel,d,4,0,4,3
Huile d\'olive,b,2,0,2,1
Wheat Bisks,a,3,0,1,0
LES 2 VACHES YAOURTS BRASSES NATURE 115 G X 4,b,3,0,2,0
Greek 0% Fat Authentic Greek Yogurt,a,1,0,1,1
Bran Flakes,b,3,0,2,0
Comté,e,3,0,5,3
"Beurre d'Isigny doux, extra -fin",e,2,0,5,3
Céréales Muesli croustillant aux 4 noix paquet de 500g,c,4,0,3,0
Ratatouille à la provençale,a,3,0,1,0
Ricotta,c,4,0,3,0
Pain campagnard avec du sarrasin et de levain,c,4,0,3,0
Ghilal,d,4,0,4,3
St hubert omega 3 demi sel,d,4,0,4,3
Filets de maquereaux,b,1,0,2,1
Boisson végétale - Amande sans sucre,b,4,0,2,0
Croustillant fruits rouges,c,3,0,3,0
Epinards hachés à la crème,b,3,0,2,0
Yaos,c,1,0,3,1
pâte a tartiner cacao noisette,e,4,0,5,3
DINOSAURUS Chocolat,e,4,0,5,3
"PET 1,5L SCHWEPPES AGRUMES",d,4,3,4,2
Maille Cornichons Extra-Fins L'Original Bocal 380g,a,4,0,1,0
Coleslaw 320g,c,4,0,3,0
halta cucina,c,4,0,3,0
Nutella 950g,e,4,0,5,3
Aiguebelle,e,4,0,5,3
Ma Crème anglaise,c,4,0,3,0
Gaufrette chocolate waffer,d,4,0,4,3
Lachsforelle mild geräuchert in Scheiben,d,3,0,4,3
Beurre de cacahuètes Extra Crunchy,a,1,0,1,1
Bebida de Almendras Enriquecida con Calcio,c,4,0,3,0
Sablés Équilibre noisette,b,3,0,2,0
PHILADELPHIA ORIGINAL,d,4,0,4,3
Sourdough Wholemeal Ciabattin,b,4,0,2,0
Digestive avena chocolate con leche,e,4,0,5,3
Boulettes Veggie oignons et origan,a,4,0,1,0
,e,4,0,5,3
MAGGI Bouillon KUB Bœuf,c,4,0,3,0
Tartelettes framboise,e,4,0,5,3
Ficelles Olives Vertes et Noires,e,3,0,5,3
Chocolat 100% République Dominicaine,d,3,0,4,3
Pudding Sabor Avellana Avela,a,4,3,1,2
double concentré de tomates bio,a,1,0,1,1
Kiri 7.5g protein creamy cheese with fresh yogurt greek style,a,4,0,1,0
Lustucru girasoli tomate basilic mozzarella 250g,d,4,0,4,3
chergui sghir lait,b,1,0,2,1
lurpak plant based,d,2,0,4,3
Céleri rémoulade,c,4,0,3,0
Granola Chocolat Noir,e,4,0,5,3
Vitality pépites de chocolat,d,4,0,4,3
BJORG Pain grillé au blé complet,c,3,0,3,0
Sardines généreuses au piment,b,4,0,2,0
Torsades complètes,a,1,0,1,1
Quaker white oats,a,1,0,1,1
Lizis high protein granola nuts and seeds,c,4,0,3,0
Daya fraise sghira,e,4,0,5,3
Fakiat Barbeque,d,4,0,4,3
Tahin purée de sésame bio,d,1,0,4,1
Extra virgin olive oil,b,1,0,2,1
Macine mb 350g int. eu,d,4,0,4,3
Knorr Soupe Déshydratée Forestière Champignons & Oignons 3 Portions,c,4,0,3,0
Panzani - spf - sauce bolognaise pur boeuf 400g,b,4,0,2,0
Eau minérale naturelle,a,1,0,1,1
Milka oreo,e,1,0,5,1
AUTHENTIC GREEK YOGURT,c,1,0,3,1
Boulettes de pois chiches Patate douce Curcuma,c,4,0,3,0
Dahl,a,3,0,1,0
Linguine- Pâtes alimentaires de semoule et de blé dur 500G,a,1,0,1,1
Yogur Proteínas Natural 0%,a,1,0,1,1
Chocolate Extrafino 80% NOIR 0% azúcares añadidos,d,4,0,4,3
MAGGI Fond de Veau boîte 110g,b,4,0,2,0
ftoury berger duo,b,4,0,2,0
Muesli fruits secs amandes & noisettes,a,3,0,1,0
Merci,b,1,0,2,1
Sel et minéraux marins,e,3,0,5,3
Carrefour Bio Galettes de Maïs Salées,c,3,0,3,0
Vegan Spread,d,4,0,4,3
L'Authentique Vegan,b,4,0,2,0
THE ORIGINAL CARAMELISED BISCUIT SPREAD,a,4,0,1,0
Nicaragua grand cru waslala 75%,d,3,0,4,3
Classic BASIL PESTO,e,4,0,5,3
St hubert omega 3 255g demi sel,d,4,0,4,3
SOJA à la VANILLE,b,4,0,2,0
not milk,c,4,0,3,0
Ratatouille cuisinée à la provençale d'aucy 380g,a,3,0,1,0
P'tits pains façon bretzel,c,4,0,3,0
Lätta,c,4,0,3,0
Pâte à tartiner protéinée Pistache,b,4,0,2,0
Biscuits,d,4,0,4,3
Capellini Nr. 1,a,1,0,1,1
Grissini Artigianali Romarin,d,3,0,4,3
Campagnard Sans gluten et sans lactose,b,4,0,2,0
Kombucha Pêche,c,4,0,3,0
danone 0%,b,1,0,2,1
Reiswaffeln mit Meersalz,b,3,0,2,0
Grany Fraise 🍓 & Framboise,c,4,0,3,0
Chocolat au lait du Pays Alpin,e,4,0,5,3
Courgettes à la Provençale 1/4,a,3,0,1,0
Lentilles cuisinées graisse canard,b,4,0,2,0
Cassoulet au Canard,b,3,0,2,0
Galettes de Sarrasin préparées en Bretagne,c,3,0,3,0
"Fromage frais nature 3,2% 4x100g",a,3,0,1,0
Pain tranché au seigle 500g,b,4,0,2,0
4 portions de Colin d'Alaska,a,4,0,1,0
"Aiguillettes de poulet à la moutarde et au citron, écrasée de pommes de terre et carottes",a,4,0,1,0
Chocolat noir 80% - Équateur,d,3,0,4,3
10 Pains au lait au levain,d,4,0,4,3
Brandade de Morue parmentière 2 personnes,c,4,0,3,0
Ferrero rocher,e,4,0,5,3
Maille Mini Cornichons Petits Croquants Bocal 210g,c,4,0,3,0
Activia muesli graines de chia framboise,b,4,0,2,0
Brassé abricot mchmach,c,1,0,3,1
Danette chocolat 125 g x 4,c,4,0,3,0
Quaker Cruesli Chocolat au lait maxi format,d,4,0,4,3
"Les Tendres Carrés blé, petits pois, courgette & curry",a,4,0,1,0
Gerblé Myrtille sans sucres ajoutés 320g,a,4,0,1,0
"Bonne Maman - Petits Cakes Fruits, 300g (10.6oz)",e,4,0,5,3
Ice tea saveur pêche,d,4,3,4,2
Pain spécial Vollkornbrot au seigle 500g,b,1,0,2,1
Sardines au naturel,b,3,0,2,0
"Poulet sauce citron vert et coriandre, purée de patate douce",c,4,0,3,0
Yaourt au Soja Citron,b,4,0,2,0
Caesar Poulet rôti,b,4,0,2,0
Tartines craquantes bio à la châtaigne sans gluten,c,1,0,3,1
Pur jus de citron,b,1,0,2,1
Coquillettes semi-complètes,a,1,0,1,1
Biscuits craquants saveur citron,c,4,0,3,0
Greek Style Natural Yogurt,a,1,0,1,1
"Pur jus de 6 fruits pressés myrtille, cassis, pomme, cranberry",c,1,0,3,1
Poms,e,4,3,5,2
Jibal,b,1,0,2,1
"Chicorée & Café, RICORÉ® Noir Intense, Boîte de 240g",c,4,0,3,0
Classic extra virgin oil,b,2,0,2,1
Lait de coco fluide,e,4,0,5,3
"Alpro Fermentiertes Sojaprodukt, Ungesüßt, Skyr style 400g",a,4,0,1,0
La Vache Qui Rit Edam,e,1,0,5,1
Le Parmentier de Boeuf Charolais purée à la crème fraîche,c,3,0,3,0
La Poêlée Champêtre 950g,a,4,0,1,0
Protein Mix mit Nüssen & Sojabohnen,d,3,0,4,3
Crunchy Peanut Butter,a,3,0,1,0
Girasoli Potiron & Petits Oignons Grillés Plaisir du Primeux,b,4,0,2,0
Sweet & Salty Nut - Chocolat noir et mélange de noix,d,4,0,4,3
Creme légère liquide 12%,d,4,0,4,3
"Beurre de cacahouète sucré , a tartiner",a,3,0,1,0
HERTA KNACKI Saucisses 100% pur porc x6 - 210g,e,4,0,5,3
Recette à l'ancienne,d,3,0,4,3
"Gran Cereale classico, Fiocchi d avena, farrone orzo",c,4,0,3,0
Thé vert menthe intense menthe verte & menthe poivrée,b,4,0,2,0
Tofu cuisiné pesto et graines de courges,a,3,0,1,0
EXTRA VIRGIN OLIVE OIL,b,2,0,2,1
Avoine Bio,c,3,0,3,0
"RICORE Original, Café & Chicorée, Boîte 200g",b,4,0,2,0
Yaourt Grec,c,3,0,3,0
Riz au Lait Vanille de Madagascar 2 x 160g,c,3,0,3,0
Grainéa Muesli pépites croustillantes chocolat noir,c,4,0,3,0
Protein Thin Bagels,a,4,0,1,0
Gazpacho fresco,b,3,0,2,0
Pain lait bio* far complet x8 280g,c,4,0,3,0
Bounty 2er,e,4,0,5,3
Desconocido,a,1,0,1,1
Coquillettes,a,1,0,1,1
Yaourt brassé vanille,b,1,0,2,1
biscuit chocolat au lait,e,4,0,5,3
Crema da pistacchio,d,4,0,4,3
croquant miel sésame,d,4,0,4,3
Biscuit sésame BIO,d,3,0,4,3
MADELEINE CITRON,e,4,0,5,3
,b,3,0,2,0
Bâtonnets de surimi,c,4,0,3,0
Le Filet de Poulet et ses Pommes de Terre à la Sarladaise,a,4,0,1,0
Lait amande intense bio,c,4,0,3,0
Nouilles en nid,a,1,0,1,1
Monster Ultra White,c,4,3,3,2
Nectar Mangue,e,4,0,5,3
Amora Sauce Samouraï 255g,d,4,0,4,3
jibal nature,b,1,0,2,1
Crunchy Toasts Seigle complet & sésame,a,3,0,1,0
Apple & raisin oat bars,e,3,0,5,3
Bio napitak od zobi,c,3,0,3,0
Филаделфия,d,3,0,4,3
Yaourt Coco,a,4,0,1,0
Boulgour tradition,a,1,0,1,1
Chips chili,c,3,0,3,0
Pan integral,a,4,0,1,0
Pain complet au sarrasin,a,4,0,1,0
Albane,b,4,0,2,0
Saint Agaûne fine saveur de viande séchée,e,4,0,5,3
HERTA KNACKI Saucisses 100% pur porc x10 - 350g,e,4,0,5,3
Maille mout vdt eau 245g,e,3,0,5,3
Yaourt brassé sans sucre,a,1,0,1,1
Yaourt brassé nature,b,4,0,2,0
100% trigo espelta integral,c,3,0,3,0
Weetabix Crispy Minis Chocolate Chip,b,4,0,2,0
Toast crock' céréales complètes,c,3,0,3,0
Nutty Granola,b,4,0,2,0
Dark Chocolate,d,4,0,4,3
Croustillant fibres,b,4,0,2,0
Muesli Crunchy 0%,a,4,0,1,0
Fischstäbchen,b,3,0,2,0
Sauce soja salée,e,3,0,5,3
Ravioles du Dauphiné LABEL ROUGE IGP 240g,d,3,0,4,3
8643729134216,e,4,0,5,3
Kichererbsen,a,3,0,1,0
"Beurre de cacahuètes, 350g",c,4,0,3,0
Soja protéines,b,4,0,2,0
"Biscuits Nutella x3 biscuits fourrés - 41,4g",e,4,0,5,3
Galettes au riz complet BIO 130g,b,3,0,2,0
CHAUSSEE AUX MOINES 450g,d,3,0,4,3
Snack Pipas,d,1,0,4,1
Nouilles aux crevettes,d,3,0,4,3
Pesto basilic roquette basilicum en rucola,d,4,0,4,3
10 pains au lait,d,4,0,4,3
Coulommiers 21%,d,3,0,4,3
,e,4,0,5,3
Fusilli Protein + Barilla 400g,a,1,0,1,1
Jao! تروبيكال,c,4,0,3,0
Spicy Chili Paste,e,4,0,5,3
Orangina zéro,c,4,3,3,2
Falafels pois chiches épinards menthe,a,3,0,1,0
Le Pâté Hénaff,d,3,0,4,3
La brique pur brebis,d,3,0,4,3
Boursin® Onctueux Ail & Fines Herbes,d,3,0,4,3
Miel l'Apiculteur Montagne,d,2,0,4,3
Le Jambon Supérieur à l'Étouffé,c,4,0,3,0
Paëlla royale aux petites gambas et au safran,b,3,0,2,0
Sardines généreuses à la tomate sans huile,a,4,0,1,0
Pizza 4 saisons,c,3,0,3,0
Tranches panées de Colin d'Alaska MSC,a,4,0,1,0
Pate à tartiner cacao aux éclats de crêpe dentelle,e,4,0,5,3
Pêche morceaux généreux,a,4,0,1,0
Pâte à tartiner noisettes grillées,d,4,0,4,3
100% oranges sans pulpe,c,1,0,3,1
Perrier fines bulles,a,4,0,1,0
Mozzarella,c,3,0,3,0
Yaourt à boire sucré aromatisé,d,4,0,4,3
Pan de Molde Semillas & Pipas,c,4,0,3,0
SKYR Lidl,a,1,0,1,1
Pâte à tartiner choco noisette,d,4,0,4,3
"Couscous semoule, falafels, courgettes, carottes, céleri",b,4,0,2,0
Blanc de dinde 100% Filet,a,4,0,1,0
"Gerblé - No Sugar Added Apple Blackcurrant Cake Filling, 180g (6.4oz)",c,4,0,3,0
Bebida de arroz y avellana,c,4,0,3,0
Benco,d,4,0,4,3
Spécial petit-déj à l'avoine,c,4,0,3,0
Huile d'Olive Vierge Extra,b,2,0,2,1
friends will be friends,e,4,0,5,3
Le Bon Paris -25% de sel,c,4,0,3,0
Confiture extra myrtille,d,4,0,4,3
Galettes épeautre,a,3,0,1,0
Tabasco rouge 60ml,a,3,0,1,0
Yogur natural con azucar de caña,c,4,0,3,0
Gnocchi à poêler,c,3,0,3,0
Sabroz arroz integral,b,4,0,2,0
María dorada 0%,d,4,0,4,3
YOP Parfum Vanille,b,4,0,2,0
Thon entier au naturel,a,3,0,1,0
Croustillant fruits et noix,b,4,0,2,0
Lait d’avoine Fibres,c,4,0,3,0
